French,English
seulement,only
demande,request
genre,kind
mois,month
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
longtemps,long time
heures,hours
aucune,any
compris,understood
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
tiens,here
matin,morning
tellement,so much
enfant,child
minutes,minutes
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
eau,water
parti,left
boulot,job
arrêter,Stop
terre,Earth
chérie,sweetheart
plutôt,rather
